Title,CAS Number,Use(s),Date Listed,Type of Toxicity,Listing Mechanism
Molinate,2212-67-1,Selective herbicide used in rice production. Use in the US terminated August 2009.,11-Dec-09,"developmental, female, male ",AB
Molybdenum,7439-98-7,Alloys; flame-resistant coating on other metals; fertilizer for some plants,,,
MON 13900 (Furilazole),121776-33-8,,,,
"MON 4660 (Dichloroacetyl-1-oxa-4-azaspiro(4,5)-decane)",71526-07-3,,,,
"3-Monochloropropane-1,2-diol",96-24-2,,,,
Monocrotaline,315-22-0,"Research chemical (induces pulmonary hypertension), naturally occurring in plants in the genus Crotalaria",01-Apr-88,cancer,SQE
MOPP (vincristine-prednisone-nitrogen mustard-procarbazine mixture),113803-47-7,Medicine (combination chemotherapy regimen for Hodgkin lymphoma),04-Nov-11,cancer,LC
Mustard Gas,505-60-2,,27-Feb-87,cancer,LC
MX (3-chloro-4-(dichloromethyl)5-hydroxy-2-(5H)-furanone),77439-76-0,Found in chlorinated drinking water,,,
Myclobutanil,88671-89-0,,16-Apr-99,"developmental, male ",AB
beta-Myrcene,123-35-3,"A component of the essential oil of several plants, produced mainly semi-synthetically.",27-Mar-15,cancer,AB
Nabam,142-59-6,"Fungicide, bactericide, algicide",30-Mar-99,developmental ,AB
Nafarelin Acetate,86220-42-0,,,,
Nafenopin,3771-19-5,,01-Apr-88,cancer,SQE
Naled,300-76-5,Insecticide; acaricide,,,
Nalidixic Acid,389-08-2,Medicine (antibiotic),,,
Naphthalene,91-20-3,"Household fumigant (mothballs, toilet deodorant blocks), pyrotechnics; chemical precursor to phthalic anhydride, 2-naphthol, surfectants, resins, dyes, insecticide, solvents, and others; component of petroleum, coal, and tobacco smoke",19-Apr-02,cancer ,AB
1-Naphthylamine,134-32-7,Production of azo dyes,01-Oct-89,cancer,LC
2-Naphthylamine,91-59-8,"Research chemical; component of cigarette smoke. Formerly used as a chemical intermediate for dyes, as a rubber antioxidant, and in the production of 2-chloronaphthylamine.",27-Feb-87,cancer,LC
Neomycin Sulfate,1405-10-3,,,,
Netilmicin Sulfate,56391-57-2,,,,
Nickel Acetate,373-02-4,,,,
Nickel and Nickel Compounds,7440-02-0,"Alloys (low-alloy steels, stainless steel, copper and brass, permanent magnets, electrical resistance alloys), electroplated protective coatings, electroformed coatings, alkaline storage batteries, fuel cell electrodes, catalyst for methanation of fuel gases and hydrogenation of vegetable oils; component of tobacco smoke",,,
Nickel Carbonate,3333-67-3,,,,
Nickel Carbonyl,13463-39-3,,,,
Nickel compounds,,"Alloys (low-alloy steels, stainless steel, copper and brass, permanent magnets, electrical resistance alloys); electroplated protective coatings; electroformed coatings; alkaline storage batteries; fuel cell electrodes; catalyst for methanation of fuel gases and hydrogenation of vegetable oils; component of tobacco smoke.",07-May-04,cancer ,LC
Nickel compounds,,"Alloys (low-alloy steels, stainless steel, copper and brass, permanent magnets, electrical resistance alloys); electroplated protective coatings; electroformed coatings; alkaline storage batteries; fuel cell electrodes; catalyst for methanation of fuel gases and hydrogenation of vegetable oils; component of tobacco smoke.",07-May-04,cancer ,LC
Nickel Hydroxide,12054-48-7; 12125-56-3,,,,
Nickel Oxide,1313-99-1,"Component of rechargeable batteries and fuel cells; pigments for ceramic, glass, and glazes; propellant for car air bags; production of electronic thermally functionng ceramics; hydrogenation catalyst and precursor to nickel salts",,,
Nickel Refinery Dust,,Byproduct of pyrometallurgical process in nickel refining,,,
Nickel Subsulfide,12035-72-2,Component of nickel refinery dust,,,
Nickelocene,1271-28-9,Research chemical,01-Oct-89,cancer,LC
Nicotine,54-11-5,,01-Apr-90,developmental ,FR
Nifedipine,21829-25-4,,29-Jan-99,"developmental, female, male ",FR
Nifuradene,555-84-0,Medicine (topical antibacterial),,,
Nifurthiazole,3570-75-0,Pesticide,,,
Nimodipine,66085-59-4,,24-Apr-01,developmental ,FR
Niridazole,61-57-4,,01-Apr-88,cancer,SQE
Nitrapyrin,1929-82-4,,30-Mar-99,developmental ,AB
Nitrate,14797-55-8,"Fertilizer, oxidizing agent",,,
Nitric Acid,7697-37-2,"Nitration reagent, oxidizing agent, organic chemical synthesis, doping agent for organic semiconductors, etching and cleaning agent, steel and brass pickling, wood staining, photoengraving, gold and silver separation, military munitions; production of fertilizer, rocket fuel, pharmaceuticals",,,
Nitrilotriacetic Acid,139-13-9,Chelating agent in laundry and other detergents; water softening,,,
Nitrilotriacetic Acid- Trisodium Salt Monohydrate,18662-53-8,"Water and textile treatment, pulp and paper processing, metal plating and cleaning. Formerly used as chelating agent in detergents.",,,
Nitrite,14797-65-0,Produced endogenously; added to cured meats as preservative and color enhancer. Common drinking water contaminant,,,
Nitrite and Nitrate,14797-65-0; 14797-55-8,"Nitrite is produced endogenously, added to cured meats as preservative and color enhancer, and is a common drinking water contaminant. Nitrate is used as fertilizer and as an oxidizing agent.",,,
Nitrite In Combination With Amines or Amides,,"Nitrite is a natural constituent of fresh produce, including spinach and celery, and of fresh uncured meats. Nitrite salts are used to cure meats and meat products, and are used in brines to cure some fish and poultry products., 	Amines are organic compounds that contain a basic nitrogen atom with a lone electron pair; examples include amino acids, the building blocks of protein, and biogenic amines like histamine., 	Amides are organic compounds that can be formed from amines, and contain a nitrogen atom and an oxygen atom; examples include proteins.",,,
5-Nitro-o-anisidine,99-59-2,,,,
5-Nitroacenaphthene,602-87-9,Used in Japan as a chemical intermediate in production of naphthalimide dyes; a small amount is also used to produce paper dye. Has not been used commercially in US.,01-Apr-88,cancer,SQE
o-Nitroanisole,91-23-6,,01-Oct-92,cancer,AB
Nitrobenzene,98-95-3,,26-Aug-97,cancer ,AB
Nitrobenzene,98-95-3,,30-Mar-10,male ,AB
4-Nitrobiphenyl,92-93-3,Formerly used in manufacture of 4-diphenylamine,01-Apr-88,cancer,SQE
6-Nitrochrysene,08-02-7496,Byproduct of combustion,01-Oct-90,cancer,AB
Nitrofen (Technical Grade),1836-75-5,Formerly used as a commercial agricultural and ornamental herbicide; voluntarily withdrawn from the US market in 1980.,,,
2-Nitrofluorene,607-57-8,Byproduct of combustion,01-Oct-90,cancer,AB
Nitrofurantoin,67-20-9,,01-Apr-91,male,AB
Nitrofurazone,59-87-0,"Veterinary medicine (antibiotic) for dogs, cats, and horses not intended for human consumption. Medical use in humans discontinued in US.",01-Jan-90,cancer,AB
Nitrogen Dioxide,10102-44-0,Nitrating agent; component of rocket fuel; chemical intermediate in formation of nitric acid; component of internal-combustion engine exhaust and tobacco smoke,,,
Nitrogen Mustard N-oxide,126-85-2,,,,
Nitrogen Mustard N-oxide Hydrochloride,302-70-5,,,,
Nitromethane,75-52-5,"Synthesis of derivatives used as pharmaceuticals, agricultural fumigants, and industrial antimicrobials; solvent, fuel or fuel additive with methanol, explosives.",,,
2-Nitropropane,79-46-9,"Rocket propellant, gasoline additive, solvents; chemical synthesis",01-Jan-88,cancer,SQE
1-Nitropyrene,5522-43-0,Byproduct of combustion; predominant pyrene found in diesel emissions,01-Oct-90,cancer,AB
4-Nitropyrene,57835-92-4,"Research chemical (induces cancer). Formerly found in toners for photocopy machines, but has not been found in detectable levels since 1980.",01-Oct-90,cancer,AB
n-Nitroso-n-Ethylurea,759-73-9,"Research chemical (induces cancer), medicine (chemotherapy drug). Formerly used in the synthesis of diazoethane.",,,
n-Nitroso-n-methylethylamine,10595-95-6,Research chemical; component of tobacco smoke,,,
n-Nitroso-n-Methylurea,684-93-5,Research chemical (induces cancer). Used in clinical trials as an anti-tumor agent. Formerly used to produce diazomethane; patented for use as a polymerization agent.,,,
n-Nitroso-n-Methylurethane,615-53-2,Research chemical; formerly used to synthesize diazomethane,,,
n-Nitrosodi-n-Butylamine,924-16-3,Research chemical; component of tobacco smoke,,,
n-Nitrosodi-n-Propylamine,621-64-7,Research chemical; byproduct of some manufacturing processes; contaminant in some weedkillers,,,
n-Nitrosodiethanolamine,1116-54-7,Research chemical. Found in complex matrices such as metalworking fluids and cosmetics; component of tobacco smoke,,,
n-Nitrosodiethylamine,55-18-5,"Gasoline and lubricant additive, stabilizer in plastics, solvent, copolymer softener; precursor to 1,1-diethylhydrazine; emitted during the compounding, forming, and curing operations of elastomeric parts; component of tobacco smoke",,,
n-Nitrosodimethylamine,62-75-9,Research chemical (induces cancer); byproduct of manufacturing processes; component of tobacco smoke. Formerly used as component of rocket fuels.,,,
N-Nitrosodiphenylamine,86-30-6,Rubber vulcanization retarder; pesticide; chemical intermediate; anti-scorching agent,01-Apr-88,cancer,SQE
p-Nitrosodiphenylamine,156-10-5,Rubber vulcanization accelerator; chemical intermediate in production of dyes and pharmaceuticals; polymerization inhibitor,01-Jan-88,cancer,SQE
N-Nitrosohexamethyleneimine,932-83-2,,23-Nov-18,cancer,SQE
N-Nitrosomethyl-n-butylamine,7068-83-9,"NMAs have been detected in personal care products, such as shampoos and conditioners, and household cleaning products, such as dishwashing liquids and surface cleaners. NMAs are not intentionally added to these products, but may form as a result of the reaction of nitrite with amine compounds.",26-Dec-14,cancer,SQE
N-Nitrosomethyl-n-decylamine,75881-22-0,"NMAs have been detected in personal care products, such as shampoos and conditioners, and household cleaning products, such as dishwashing liquids and surface cleaners. NMAs are not intentionally added to these products, but may form as a result of the reaction of nitrite with amine compounds.",26-Dec-14,cancer,SQE
N-Nitrosomethyl-n-dodecylamine,55090-44-3,"NMAs have been detected in personal care products, such as shampoos and conditioners, and household cleaning products, such as dishwashing liquids and surface cleaners. NMAs are not intentionally added to these products, but may form as a result of the reaction of nitrite with amine compounds.",26-Dec-14,cancer,SQE
N-Nitrosomethyl-n-heptylamine,16338-99-1,"NMAs have been detected in personal care products, such as shampoos and conditioners, and household cleaning products, such as dishwashing liquids and surface cleaners. NMAs are not intentionally added to these products, but may form as a result of the reaction of nitrite with amine compounds.",,,
N-Nitrosomethyl-n-hexylamine,28538-70-7,"NMAs have been detected in personal care products, such as shampoos and conditioners, and household cleaning products, such as dishwashing liquids and surface cleaners. NMAs are not intentionally added to these products, but may form as a result of the reaction of nitrite with amine compounds.",26-Dec-14,cancer,SQE
N-Nitrosomethyl-n-nonylamine,75881-19-5,"NMAs have been detected in personal care products, such as shampoos and conditioners, and household cleaning products, such as dishwashing liquids and surface cleaners. NMAs are not intentionally added to these products, but may form as a result of the reaction of nitrite with amine compounds.",,,
N-Nitrosomethyl-n-octylamine,34423-54-6,"NMAs have been detected in personal care products, such as shampoos and conditioners, and household cleaning products, such as dishwashing liquids and surface cleaners. NMAs are not intentionally added to these products, but may form as a result of the reaction of nitrite with amine compounds.",26-Dec-14,cancer,SQE
N-Nitrosomethyl-n-pentylamine,13256-07-0,"NMAs have been detected in personal care products, such as shampoos and conditioners, and household cleaning products, such as dishwashing liquids and surface cleaners. NMAs are not intentionally added to these products, but may form as a result of the reaction of nitrite with amine compounds.",26-Dec-14,cancer,SQE
N-Nitrosomethyl-n-propylamine,924-46-9,"NMAs have been detected in personal care products, such as shampoos and conditioners, and household cleaning products, such as dishwashing liquids and surface cleaners. NMAs are not intentionally added to these products, but may form as a result of the reaction of nitrite with amine compounds.",26-Dec-14,cancer,SQE
N-Nitrosomethyl-n-tetradecylamine,75881-20-8,"NMAs have been detected in personal care products, such as shampoos and conditioners, and household cleaning products, such as dishwashing liquids and surface cleaners. NMAs are not intentionally added to these products, but may form as a result of the reaction of nitrite with amine compounds.",26-Dec-14,cancer,SQE
N-Nitrosomethyl-n-undecylamine,68107-26-6,"NMAs have been detected in personal care products, such as shampoos and conditioners, and household cleaning products, such as dishwashing liquids and surface cleaners. NMAs are not intentionally added to these products, but may form as a result of the reaction of nitrite with amine compounds.",26-Dec-14,cancer,SQE
3-(N-Nitrosomethylamino) propionitrile,60153-49-3,,01-Apr-90,cancer,AB
4-(n-nitrosomethylamino)-1(3-pyridyl)-1-butanone,64091-91-4,"Produced in curing, ageing, processing, and smoking of tobacco products",,,
N-Nitrosomethylvinylamine,4549-40-0,,01-Jan-88,cancer,SQE
n-Nitrosomorpholine,59-89-2,Solvent for polyacrylonitrile; chemical intermediate; antimicrobial properties; may be present in emissions or effluents from production of rubber and related products. No production or use in the US.,,,
n-Nitrosonornicotine,16543-55-8,"Research chemical (induces cancer). Produced in curing, ageing, processing, and smoking of tobacco products; produced endogenously from nitrite in saliva and tobacco alkaloids including nicotine",,,
n-Nitrosopiperidine,100-75-4,Research chemical (induces cancer); disinfection byproduct of water treatment; component of tobacco smoke,,,
n-Nitrosopyrrolidine,930-55-2,Research chemical (induces tumors); released during cooking of nitrite-preserved foods; component of tobacco smoke,,,
N-Nitrososarcosine,13256-22-9,,01-Jan-88,cancer,SQE
o-Nitrotoluene,88-72-2,,15-May-98,cancer ,AB
Nitrous Oxide,10024-97-2,,,,
Norethisterone,68-22-4,,,,
Norethisterone (Norethindrone) /Ethinyl Estradiol,68-22-4; 57-63-6,,,,
Norethisterone (Norethindrone) /Mestranol,68-22-4; 72-33-3,,01-Apr-90,developmental,FR
Norethisterone Acetate (Norethindrone Acetate),51-98-9,,,,
Norethynodrel,68-23-5,,27-Feb-01,cancer ,AB
Norgestrel,6533-00-2,,01-Apr-90,developmental,FR
Ochratoxin A,303-47-9,,01-Jul-90,cancer,AB
"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin",3268-87-9,"Found in smoke emissions, byproduct of chemical synthesis",,,
"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",39001-02-0,"Found in smoke emissions, byproduct of chemical synthesis",,,
Oil Orange SS,2646-17-5,,01-Apr-88,cancer,SQE
Oleum,8014-95-7,"Oil refining; manufacture of sulfuric acid, explosives, and soap; chemical intermediate for transportation of sulfuric acid compounds; reagent",,,
"Oral Contraceptives, Combined",,,,,
"Oral Contraceptives, Sequential",,,,,
Oryzalin,19044-88-3,,12-Sep-08,cancer,AB
Oxadiazon,19666-30-9,,01-Jul-91,cancer,SQE
Oxadiazon,19666-30-9,,15-May-98,developmental ,AB
Oxamyl,23135-22-0,"Insecticide, nematicide, acaricide",,,
Oxazepam,604-75-1,,,,
"p,p'-oxybis(benzenesulfonyl hydrazide)",80-51-3,Used as a blowing agent for sponge rubber and expanded plastics,,,
Oxydemeton Methyl,301-12-2,,,,
Oxymetholone,434-07-1,,,,
Oxytetracycline,79-57-2,,,,
Oxytetracycline Hydrochloride,2058-46-0,,,,
Oxythioquinox,02-01-2439,,,,
Ozone,10028-15-6,"Disinfectant, bleaching, oxidant, deodorizer, detoxification (cyanide wastes); organic chemical synthesis.",,,
Paclitaxel,33069-62-4,,26-Aug-97,"developmental, female, male ",FR
Paclobutrazol,76738-62-0,plant growth retardant and triazole fungicide,,,
Palygorskite fibers (> 5µm in length),12174-11-7,,28-Dec-99,cancer ,AB
Panfuran S,794-93-4,,01-Jan-88,cancer,SQE
Para-Nitroanisole,100-17-4,,,,
Paramethadione,115-67-3,,01-Jul-90,developmental,FR
Paraquat,1910-42-5,Herbicide,,,
Parathion,56-38-2,organophospate insecticide,20-May-16,cancer,LC
"2',3,4,4',5-PeCB",65510-44-3,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,,,
"2,3',4,4',5-PeCB",31508-00-6,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,,,
"2,3,3',4,4'-PeCB",32598-14-4,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,,,
"2,3,4,4',5-PeCB",74472-37-0,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,,,
"3,3',4,4',5-PeCB",57465-28-8,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,,,
Pendimethalin,‎40487-42-1,herbicide,,,
Penicillamine,52-67-5,,01-Jan-91,developmental,FR
Pentabromodiphenyl ether mixture [DE-71 (technical grade)],,,,,
"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",40321-76-4,"Found in smoke emissions, byproduct of chemical synthesis",,,
"1,2,3,7,8-Pentachlorodibenzofuran",57117-41-6,"Found in smoke emissions, byproduct of chemical synthesis",,,
"2,3,4,7,8-Pentachlorodibenzofuran",57117-31-4,"Found in smoke emissions, byproduct of chemical synthesis",,,
Pentachlorophenol,87-86-5,"Wood preservative in specified outdoor applications, such as utility poles. No longer registered as a pesticide in California.",01-Jan-90,cancer,AB
Pentachlorophenol and by-products of its synthesis (complex mixture),,"Used industrially for treating utility poles, wood pilings, fence posts, and lumber or timber for construction as a biocide, to prevent growth of harmful organisms",21-Oct-16,cancer,AB
Pentobarbital Sodium,57-33-0,,,,
Pentosan Polysulfate Sodium,,,,,
Pentostatin,53910-25-1,,01-Sep-96,developmental,FR
Perchlorate,14797-73-0,Combustion accelerant; present in bleach and some fertilizers,,,
Perfluorooctane Sulfonate  (PFOS),1763-23-1,Used in surface protection products such as carpet and clothing treatments and coating for paper and cardboard packaging. They have also been used in fire-fighting foams.,,,
Perfluorooctanoic Acid (PFOA),335-67-1,,,,
Permethrin,‎‎52645-53-1,"insecticide, acaricide, and insect repellent",,,
Pertuzumab,380610-27-5,,27-Jan-17,developmental,FR
Phenacemide,63-98-9,,01-Jul-90,developmental,FR
Phenacetin,62-44-2,Medicine (analgesic and antipyretic); stabilizes hydrogen peroxide for hair bleaching preparation,01-Oct-89,cancer,LC
Phenazopyridine,94-78-0,"Medicine (urinary analgesic, antiseptic), veterinary medicine",01-Jan-88,cancer,SQE
Phenazopyridine Hydrochloride,136-40-3,"Medicine: analgesic in urinary tract, treat infections of mouth and conjunctiva; veterinary medicine (urinary analgesic)",,,
Phenelzine and its acid salts,,Drug; antidepressant and anxiolytic agent,,,
Phenesterin,09-10-3546,Medicine (antineoplastic),01-Jul-89,cancer,SQE
Phenobarbital,50-06-6,"Medicine (sedative), laboratory reagent. Also available as the sodium salt which has good water-solubility",01-Jan-90,cancer,AB
Phenol,108-95-2,"Industrial and medical disinfectant; chemical intermediate in manufacture of synthetic fibers, epoxy, and other resins; solvent for petroleum refining; component of coal tar, tobacco smoke, and motor vehicle emissions",,,
Phenolphthalein,77-09-8,,15-May-98,cancer  ,AB
Phenoxybenzamine,59-96-1,Medicine (alpha-adrenergic receptor blocker with prolonged action),01-Apr-88,cancer,SQE
Phenoxybenzamine Hydrochloride,63-92-3,Medicine (antihypertensive),,,
Phenprocoumon,435-97-2,,01-Oct-92,developmental,FR
Phenyl Glycidyl Ether,122-60-1,"Reactive modifier in epoxy resin systems for protective coatings, plastic laminates, bonding materials, and floorings",,,
o-Phenylenediamine and its salts,95-54-5,"Chemical intermediate in synthesis of fungicides, corrosion inhibitors, pigments, and pharmaceuticals; analytical reagent; remove elemental sulfur in mining ores and aldehyde color formers in polymeric producs.",15-May-98,cancer ,AB
o-Phenylenediamine Dihydrochloride,615-28-1,Medicine/biochemistry (ELISA),,,
Phenylhydrazine,,"Chemical intermediate in synthesis of dyes and pharmaceuticals; research chemical (induces acute hemolytic anemia); reagent in production of sugars, aldehydes, and ketones; reducing agent",,,
Phenylhydrazine Hydrochloride,59-88-1,"Chemical intermediate in production of dyes, nitron, antipyrine, and pharmaceuticals; reagent and reducing agent",,,
"o-Phenylphenate, Sodium",132-27-4,"Fungicide, mold inhibitor, preservative",,,
o-Phenylphenol,90-43-7,,04-Aug-00,cancer,AB
Phenylphosphine,638-21-1,,,,
"PhiP(2-Amino-1-methyl-6-phenylimidazol(4,5-b)pyridine)",105650-23-5,,,,
Phosgene,75-44-5,"Chemical intermediate in production of aniline dyes, polymeric isocyanates, insecticides, pharmaceuticals, and metallurgy; degradation product of chloropicrin; formerly used as choking agent in chemical warfare (WWI and WWII)",,,
Phosphine,7803-51-2,"Pesticide (fumigant), chemical intermediate (organophosphorus chemistry)",,,
Phosphoric Acid,7664-38-2,"Reagent or chemical intermediate in production of fertilizers, waxes, polishers, and detergents; rust converter for polishing or corrosion resistance, electropolishing, food preservative, flavor enhancer, coagulant, pH adjuster in cosmetics",,,
Phthalic Anhydride,85-44-9,"Monomer for synthetic resins; chemical intermediate in production of phthalate esters, and dyes; organic synthesis; medicine (enteric coatings)",,,
Picloram,01-02-1918,Herbicide,,,
Pimozide,2062-78-4,,20-Aug-99,"developmental, female ",FR
Pioglitazone,111025-46-8,,18-Apr-14,cancer,LC
Pipobroman,54-91-1,,01-Jul-90,developmental,FR
Pirimicarb,23103-98-2,,01-Jul-08,cancer ,AB
Plicamycin,18378-89-7,,01-Apr-90,developmental,FR
Poligeenan (Polygeenan),53973-98-1,Compound degrades from carrageenan (in red algae),,,
Polybrominated Biphenyls,,"Formerly used as flame retardant in synthetic fibers, lacquers, and molded plastics. Manufacture in US stopped in 1976.",,,
Polychlorinated Biphenyls,1336-36-3,Formerly used in dielectric and coolant fluids; US manufacture banned in 1979,,,
Polychlorinated biphenyls (containing 60 or more percent chlorine by molecular weight),,"Formerly used as coolants and lubricants in transformers, capacitors, and other electrical equipment; US manufacture banned in 1979.",01-Jan-88,cancer,SQE
Polychlorinated Dibenzo-p-dioxins,,,,,
Polychlorinated Dibenzofurans,,,,,
Polymeric Methylene Diphenyl Diisocyanate,9016-87-9,Production of rigid polyurethane,,,
Ponceau 3R,08-09-3564,"Dye for wool, biological stain. Banned by the FDA for use in food (1960) and externally applied drugs or cosmetics (1966) in the US.",01-Apr-88,cancer,SQE
Ponceau MX,3761-53-3,"Dye for textiles, leather, ink, paper, wood, and food. Use as dye for drugs and cosmetics cancelled in the US in 1966.",01-Apr-88,cancer,SQE
Potassium Bromate,02-01-7758,"Laboratory reagent, oxidizer (food additive to fortify flour, permanent wave neutralizing solution, textile dyeing)",,,
Potassium Cyanide,151-50-8,,,,
Potassium Dimethyldithiocarbamate,128-03-0,"Pesticide; industrial water treatment, rubber manufacture",,,
Pravastatin Sodium,81131-70-6,,,,
Prednisolone Sodium Phosphate,125-02-0,,,,
Premarin,12126-59-9,Drug/therapeutic agent; conjugated estrogens used as estrogen replacement therapy,,,
Primidone,125-33-7,,20-Aug-99,cancer ,AB
Procarbazine,671-16-9,"Medicine (antineoplastic- Hodgkin's lymphoma, brain cancers), veterinary medicine",01-Jan-88,cancer,SQE
Procarbazine Hydrochloride,366-70-1,Medicine (chemotherapy drug),,,
Procymidone,32809-16-8,,01-Oct-94,cancer,AB
Progesterone,57-83-0,,01-Jan-88,cancer,SQE
Pronamide,23950-58-5,,01-May-96,cancer,AB
Propachlor,1918-16-7,,27-Feb-01,cancer ,AB
"1,3-Propane Sultone",1120-71-4,Chemical intermediate to introduce the sulfopropyl group into molecules and confer water solubility and anionic character,,,
Propargite,2312-35-8,,01-Oct-94,cancer,AB
Propargite,2312-35-8,,15-Jun-99,developmental ,AB
Propazine,139-40-2,pesticide,15-Jul-16,"developmental, female",AB
Propetamphos,31218-83-4,"insecticide designed to control cockroaches, flies, ants, ticks, moths, fleas and mosquitoes on contact",,,
beta-Propiolactone,57-57-8,"Chemical intermediate in chemical synthesis; medicine (disinfectant for vaccines, tissue grafts, blood plasma, etc.)",01-Jan-88,cancer,SQE
Propoxur,114-26-1,,11-Aug-06,cancer ,AB
n-Propylbenzene,103-65-1,"manufacture of cumene and methylstyrene, and in textile dyeing and printing",,,
Propylene,115-07-1,"Production of polypropylene; chemical intermediate in production of plastics, foams, and resins; aerosol propellant",,,
"Propylene Glycol Butyl Ether Ester (of 2,4-D)",1928-45-6,Herbicide,,,
Propylene Glycol Mono-t-butyl Ether,57018-52-7,,,,
Propylene Glycol Monomethyl Ether,107-98-2,"Solvent for cellulose, acrylics, dyes, inks, and stains; lacquers and paints",,,
Propylene Oxide,75-56-9,"Fumigant (almonds, pistachios), preparation of biological samples, herbicide component; production of polyurethane plastics, polyester resins, solvent, preservatives, de-icing fluid, liquid for electronic cigarettes. Has been used as racing fuel and glow fuel. Component of tobacco smoke",,,
Propyleneimine,75-55-8,"Chemical intermediate in paper, textile, rubber, and pharmaceutical industries; rocket fuel modifier",,,
Propylthiouracil,51-52-5,Medicine (thyroid inhibitor),01-Jan-88,cancer,SQE
Propylthiouracil,51-52-5,Medicine (thyroid inhibitor),01-Jul-90,developmental,FR
Pulegone,89-82-7,,18-Apr-14,cancer,LC
Pymetrozine,123312-89-0,,22-Mar-11,cancer,AB
Pyrazachlor,6814-58-0,"Pyrazachlor is not registered for use in the United States or the European Union. At one time, it was proposed for use as a growth regulator on citrus.",,,
Pyridine,110-86-1,,17-May-02,cancer,AB
Pyrimethamine,58-14-0,,29-Jan-99,developmental ,FR
Quazepam,36735-22-5,,26-Aug-97,developmental ,FR
Quinoline and its strong acid salts,,,24-Oct-97,cancer,SQE
Quizalofop-ethyl,76578-14-8,Herbicide; not registered for use in CA since 1993.,24-Dec-99,male ,SQE
Radionuclides,,,01-Jul-89,cancer,SQE
Radium-226,7440-14-4,Naturally occurring product of uranium decay. Former component of cosmetic and medical products.,,,
Radium-228,15262-20-1,Naturally occurring product of thorium decay.,,,
Reserpine,50-55-5,"Medicine (antipsychotic, antihypertensive), veterinary medicine (tranquilizer)",01-Oct-89,cancer,LC
Residual (heavy) fuel oils,,,01-Oct-90,cancer,AB
Resmethrin,10453-86-8,,01-Jul-08,cancer ,AB
Resmethrin,10453-86-8,,06-Nov-98,developmental ,AB
Retinol/Retinyl Esters,,,,,
Ribavirin,36791-04-5,,01-Apr-90,developmental,FR
Ribavirin,36791-04-5,,27-Feb-01,male ,FR
Riddelliine,23246-96-0,,03-Dec-04,cancer ,LC
Rifampin,13292-46-1,,27-Feb-01,"developmental, female ",FR
Rimsulfuron,122931-48-0,Herbicide,,,
Rosuvastatin Calcium,147098-20-2,"A Hydroxymethylglutaryl-CoA-Reductase Inhibitor, or statin, that reduces the plasma concentrations of LDL-cholesterol, Apolipoprotein B, and Triglycerides, while increasing HDL-cholesterol levels in patients with hypercholesterolemia and those at risk for cardiovascular diseases",,,
Saccharin,81-07-2,,,,
Safrole,94-59-7,"Naturally occurring in small amounts in spices such as cinnamon, nutmeg, sassafras, and black pepper; principal component of brown camphor oil. Formerly used as fragrance and flavoring",01-Jan-88,cancer,SQE
"Salted fish, Chinese-style",,,29-Apr-11,cancer,LC
sec-butylbenzene,135-98-8,solvent,,,
Secobarbital Sodium,309-43-3,,,,
Sedaxane,874967-67-6,"A broad spectrum fungicide belonging to the class of ortho-substituted phenyl amides. Used as a  seed treatment on barley, canola, oat, rye, soybean, triticale, and wheat.",01-Jul-16,cancer,AB
Selenium,7782-49-2,"Power rectifiers and surge protection, photographic toner, anti-dandruff shampoos; production of glass (tinting), alloys, photoelectric cells, rubber, pharmaceuticals, fungicides, insecticides; component of tobacco smoke. Naturally occurring in small amounts in water and some foods.",,,
Selenium Sulfide,7446-34-6,,,,
Sermorelin Acetate,,,,,
Shale-oils,68308-34-9,,01-Apr-90,cancer,AB
"Silica (crystalline, respirable)",,"Manufacture of glass, abrasives, ceramics, enamels, heat insulators, fire- and acid-prove packing materials; clarifying and filtration agent, molds for castings, decolorizing and purifying oil/petroleum, industrial filler",,,
Silver and silver compounds,7440-22-4,,,,
Silvex,93-72-1,Former agricultural herbicide. Banned for most uses by EPA in 1979; banned altogether in US since 1985,,,
Simazine,122-34-9,Herbicide,15-Jul-16,"developmental, female",AB
Simvastatin,79902-63-9,Antihyperlipidemic Agent; Anticholesteremic Agent; Hydroxymethylglutaryl-CoA Reductase Inhibitor; Drug/Therapeutic Agent,,,
Sodium Cyanide,143-33-9,,,,
Sodium dicamba,1982690,Used as a herbicide to control broadleaf weeds,,,
Sodium dimethyldithiocarbamate,128-04-1,"Herbicide, biocide (cutting oils and aqueous systems), coagulant, vulcanizing agent, chelating agent; water treatment (precipitate heavy metal ions); stops polymerization of synthetic latexes in rubber",30-Mar-99,developmental ,AB
Sodium Fluoroacetate,62-74-8,,,,
Sodium Hydroxide,1310-73-2,"Chemical base, acid neutralizer, caustic cleaning agent, solvent, production of paper or fibers (kraft pulping), tissue digestion, dissolving amphoteric metals, saponification (production of hard soap), manufacture of fabric and plastic, food processing, livestock management (cattle dehorning)",,,
